Employee ID,Title,Forename,Preferred Name,Middle Name,Surname,Gender,National Insurance Number,Date of Birth,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Home Telephone,Email Address,Start Date,Continuous Service Date,Date of Termination,Job Title,Job Grade,Organisational field 9,Organisational field 10,Organisational field 25,Organisational field 26,Payroll,Payroll Number,Annual Salary,Pensionable Salary,Username,Work Telephone,Site,LTA,MTA Status,Pension,Expat,Annual Hours,FTE
9290832,Ms,Newjforethirtytwo,Newjforethirtytwo,Newjmidthirtytwo,Newjsurthirtytwo,F,SP290832A,01/04/1967,Addone 32,Addtwo 32,Addthree 32,town32,county32,country32,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290832,250000,250000,9290832,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290833,Mr,Newjforethirtythree,Newjforethirtythree,Newjmidthirtythree,Newjsurthirtythree,M,SP290833A,01/04/1972,Addone 33,Addtwo 33,Addthree 33,town33,county33,country33,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290833,250000,250000,9290833,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290834,Miss,Newjforethirtyfour,Newjforethirtyfour,Newjmidthirtyfour,Newjsurthirtyfour,F,SP290834A,02/05/1945,Addone 34,Addtwo 34,Addthree 34,town34,county34,country34,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290834,250000,250000,9290834,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290835,Mrs,Newjforethirtyfive,Newjforethirtyfive,Newjmidthirtyfive,Newjsurthirtyfive,M,SP290835A,01/02/1947,Addone 35,Addtwo 35,Addthree 35,town35,county35,country35,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290835,250000,250000,9290835,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290836,Dame,Newjforethirtysix,Newjforethirtysix,Newjmidthirtysix,Newjsurthirtysix,M,SP290836A,01/02/1957,Addone 36,Addtwo 36,Addthree 36,town36,county36,country36,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290836,250000,250000,9290836,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290837,Dr,Newjforethirtyseven,Newjforethirtyseven,Newjmidthirtyseven,Newjsurthirtyseven,F,SP290837A,01/04/1967,Addone 37,Addtwo 37,Addthree 37,town37,county37,country37,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290837,250000,250000,9290837,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290838,Mr,Newjforethirtyeight,Newjforethirtyeight,Newjmidthirtyeight,Newjsurthirtyeight,M,SP290838A,01/04/1972,Addone 38,Addtwo 38,Addthree 38,town38,county38,country38,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290838,250000,250000,9290838,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290839,Miss,Newjforethirtynine,Newjforethirtynine,Newjmidthirtynine,Newjsurthirtynine,F,SP290839A,01/04/1972,Addone 39,Addtwo 39,Addthree 39,town39,county39,country39,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290839,250000,250000,9290839,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290840,Mrs,Newjforeforty,Newjforeforty,Newjmidforty,Newjsurforty,M,SP290840A,01/02/1947,Addone 40,Addtwo 40,Addthree 40,town40,county40,country40,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290840,250000,250000,9290840,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290841,Dame,Newjforefortyone,Newjforefortyone,Newjmidfortyone,Newjsurfortyone,M,SP290841A,01/02/1957,Addone 41,Addtwo 41,Addthree 41,town41,county41,country41,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290841,250000,250000,9290841,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290842,Ms,Newjforefortytwo,Newjforefortytwo,Newjmidfortytwo,Newjsurfortytwo,F,SP290842A,01/04/1967,Addone 42,Addtwo 42,Addthree 42,town42,county42,country42,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290842,250000,250000,9290842,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290843,Mr,Newjforefortythree,Newjforefortythree,Newjmidfortythree,Newjsurfortythree,M,SP290843A,01/04/1972,Addone 43,Addtwo 43,Addthree 43,town43,county43,country43,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290843,250000,250000,9290843,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290844,Miss,Newjforefortyfour,Newjforefortyfour,Newjmidfortyfour,Newjsurfortyfour,F,SP290844A,02/05/1945,Addone 44,Addtwo 44,Addthree 44,town44,county44,country44,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290844,250000,250000,9290844,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290845,Mrs,Newjforefortyfive,Newjforefortyfive,Newjmidfortyfive,Newjsurfortyfive,M,SP290845A,01/02/1947,Addone 45,Addtwo 45,Addthree 45,town45,county45,country45,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290845,250000,250000,9290845,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290846,Dame,Newjforefortysix,Newjforefortysix,Newjmidfortysix,Newjsurfortysix,M,SP290846A,01/02/1957,Addone 46,Addtwo 46,Addthree 46,town46,county46,country46,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290846,250000,250000,9290846,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290847,Dr,Newjforefortyseven,Newjforefortyseven,Newjmidfortyseven,Newjsurfortyseven,F,SP290847A,01/04/1967,Addone 47,Addtwo 47,Addthree 47,town47,county47,country47,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290847,250000,250000,9290847,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290848,Mr,Newjforefortyeight,Newjforefortyeight,Newjmidfortyeight,Newjsurfortyeight,M,SP290848A,01/04/1972,Addone 48,Addtwo 48,Addthree 48,town48,county48,country48,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290848,250000,250000,9290848,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290849,Miss,Newjforefortynine,Newjforefortynine,Newjmidfortynine,Newjsurfortynine,F,SP290849A,01/04/1972,Addone 49,Addtwo 49,Addthree 49,town49,county49,country49,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290849,250000,250000,9290849,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290850,Mrs,Newjforefifty,Newjforefifty,Newjmidfifty,Newjsurfifty,M,SP290850A,01/02/1947,Addone 50,Addtwo 50,Addthree 50,town50,county50,country50,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290850,250000,250000,9290850,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290851,Dame,Newjforefiftyone,Newjforefiftyone,Newjmidfiftyone,Newjsurfiftyone,M,SP290851A,01/02/1957,Addone 51,Addtwo 51,Addthree 51,town51,county51,country51,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290851,250000,250000,9290851,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290852,Ms,Newjforefiftytwo,Newjforefiftytwo,Newjmidfiftytwo,Newjsurfiftytwo,F,SP290852A,01/04/1967,Addone 52,Addtwo 52,Addthree 52,town52,county52,country52,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290852,250000,250000,9290852,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290853,Mr,Newjforefiftythree,Newjforefiftythree,Newjmidfiftythree,Newjsurfiftythree,M,SP290853A,01/04/1972,Addone 53,Addtwo 53,Addthree 53,town53,county53,country53,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290853,250000,250000,9290853,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290854,Miss,Newjforefiftyfour,Newjforefiftyfour,Newjmidfiftyfour,Newjsurfiftyfour,F,SP290854A,02/05/1945,Addone 54,Addtwo 54,Addthree 54,town54,county54,country54,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290854,250000,250000,9290854,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290855,Mrs,Newjforefiftyfive,Newjforefiftyfive,Newjmidfiftyfive,Newjsurfiftyfive,M,SP290855A,01/02/1947,Addone 55,Addtwo 55,Addthree 55,town55,county55,country55,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290855,250000,250000,9290855,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290856,Dame,Newjforefiftysix,Newjforefiftysix,Newjmidfiftysix,Newjsurfiftysix,M,SP290856A,01/02/1957,Addone 56,Addtwo 56,Addthree 56,town56,county56,country56,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290856,250000,250000,9290856,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290857,Dr,Newjforefiftyseven,Newjforefiftyseven,Newjmidfiftyseven,Newjsurfiftyseven,F,SP290857A,01/04/1967,Addone 57,Addtwo 57,Addthree 57,town57,county57,country57,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290857,250000,250000,9290857,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290858,Mr,Newjforefiftyeight,Newjforefiftyeight,Newjmidfiftyeight,Newjsurfiftyeight,M,SP290858A,01/04/1972,Addone 58,Addtwo 58,Addthree 58,town58,county58,country58,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290858,250000,250000,9290858,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290859,Miss,Newjforefiftynine,Newjforefiftynine,Newjmidfiftynine,Newjsurfiftynine,F,SP290859A,01/04/1972,Addone 59,Addtwo 59,Addthree 59,town59,county59,country59,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290859,250000,250000,9290859,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290860,Mrs,Newjforesixty,Newjforesixty,Newjmidsixty,Newjsursixty,M,SP290860A,01/02/1947,Addone 60,Addtwo 60,Addthree 60,town60,county60,country60,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290860,250000,250000,9290860,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290861,Dame,Newjforesixtyone,Newjforesixtyone,Newjmidsixtyone,Newjsursixtyone,M,SP290861A,01/02/1957,Addone 61,Addtwo 61,Addthree 61,town61,county61,country61,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290861,250000,250000,9290861,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290862,Ms,Newjforesixtytwo,Newjforesixtytwo,Newjmidsixtytwo,Newjsursixtytwo,F,SP290862A,01/04/1967,Addone 62,Addtwo 62,Addthree 62,town62,county62,country62,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290862,250000,250000,9290862,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290863,Mr,Newjforesixtythree,Newjforesixtythree,Newjmidsixtythree,Newjsursixtythree,M,SP290863A,01/04/1972,Addone 63,Addtwo 63,Addthree 63,town63,county63,country63,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290863,250000,250000,9290863,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290864,Miss,Newjforesixtyfour,Newjforesixtyfour,Newjmidsixtyfour,Newjsursixtyfour,F,SP290864A,02/05/1945,Addone 64,Addtwo 64,Addthree 64,town64,county64,country64,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290864,250000,250000,9290864,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290865,Mrs,Newjforesixtyfive,Newjforesixtyfive,Newjmidsixtyfive,Newjsursixtyfive,M,SP290865A,01/02/1947,Addone 65,Addtwo 65,Addthree 65,town65,county65,country65,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290865,250000,250000,9290865,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290866,Dame,Newjforesixtysix,Newjforesixtysix,Newjmidsixtysix,Newjsursixtysix,M,SP290866A,01/02/1957,Addone 66,Addtwo 66,Addthree 66,town66,county66,country66,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290866,250000,250000,9290866,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290867,Dr,Newjforesixtyseven,Newjforesixtyseven,Newjmidsixtyseven,Newjsursixtyseven,F,SP290867A,01/04/1967,Addone 67,Addtwo 67,Addthree 67,town67,county67,country67,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290867,250000,250000,9290867,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290868,Mr,Newjforesixtyeight,Newjforesixtyeight,Newjmidsixtyeight,Newjsursixtyeight,M,SP290868A,01/04/1972,Addone 68,Addtwo 68,Addthree 68,town68,county68,country68,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290868,250000,250000,9290868,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290869,Miss,Newjforesixtynine,Newjforesixtynine,Newjmidsixtynine,Newjsursixtynine,F,SP290869A,01/04/1972,Addone 69,Addtwo 69,Addthree 69,town69,county69,country69,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290869,250000,250000,9290869,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
