Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
23,20140601,AB030723A,9030723,Ms,Surnametwentythree,Firstnametwentythree,Middlenametwentythree,F,19850105,Addressline1,,Lothian,,EH6 5ES,ACTIVE,1900,10000,DCA,10000,4,abc@xyz.com,,,,20140526,,35
24,20140601,AB030724A,9030724,Miss,Surnametwentyfour,Firstnametwentyfour,Middlenametwentyfour,M,19850105,Addressline1,,,,EH6 5ES,ACTIVE,1600,10000,DCS,10000,5,abc@xyz.com,,,,20140526,,35
25,20140601,AB030725A,9030725,Prof,SurnametwentyfiveNI,Firstnametwentyfive,Middlenametwentyfive,F,19850105,Addressline1,Addressline2,,Edinburgh,EH6 5ES,ACTIVE,8000,10000,ECA,10000,3,abc@xyz.com,,,,20140526,,35
26,20140601,AB030726A,9030726,Dr,SurnametwentysixNI,Firstnametwentysix,Middlenametwentysix,M,19850105,Addressline1,Addressline2,,,EH6 5ES,ACTIVE,1100,10000,BCA,10000,4,abc@xyz.com,,,,20140526,,35
27,20140601,AB030727A,9030727,Lord,SurnametwentysevenNI,Firstnametwentyseven,Middlenametwentyseven,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECS,10000,5,abc@xyz.com,,,,20131001,,35
28,20140601,AB030728A,9030728,Commander-in-chief,Surnametwentyeight,Firstnametwentyeight,Middlenametwentyeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCS,10000,3,abc@xyz.com,,,,20140526,,35
29,20140601,AB030729A,9030729,Mr,Surnametwentynine,Firstnametwentynine,Middlenametwentynine,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
30,20140601,AB030730A,9030730,Ms,SurnamethirtyPN,Firstnamethirty,Middlenamethirty,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ESA,10000,5,abc@xyz.com,,,,20140526,,35
31,20140601,AB030731A,9030731,Miss,SurnamethirtyonePN,Firstnamethirtyone,Middlenamethirtyone,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
32,20140601,AB030732A,9030732,Prof,Surnamethirtytwogender,Firstnamethirtytwo,Middlenamethirtytwo,G,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
33,20140601,AB030733A,9030733,Dr,Surnamethirtythreedob,Firstnamethirtythree,Middlenamethirtythree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
34,20140601,AB030734A,9030734,Lord,Surnamethirtyfouraddone,Firstnamethirtyfour,Middlenamethirtyfour,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,BCA,10000,,abc@xyz.com,,,,20140526,,35
35,20140601,AB030735A,9030735,Commander-in-chief,Surnamethirtyfiveaddone,Firstnamethirtyfive,Middlenamethirtyfive,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,ECS,10000,,abc@xyz.com,,,,20140526,,35
36,20140601,AB030736A,9030736,Dr,Surnamethirtysixaddone,Firstnamethirtysix,Middlenamethirtysix,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,BCS,10000,4,abc@xyz.com,,,,20140526,,35
37,20140601,AB030737A,9030737,Lord,Surnamethirtysevenaddone,Firstnamethirtyseven,Middlenamethirtyseven,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,NON,10000,5,abc@xyz.com,,,,20140526,,35
38,20140601,AB030738A,9030738,Commander-in-chief,Surnamethirtyeightaddtwo,Firstnamethirtyeight,Middlenamethirtyeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,ESA,10000,3,abc@xyz.com,,,,20140526,,35
39,20140601,AB030739A,9030739,Mr,Surnamethirtynineaddtwo,Firstnamethirtynine,Middlenamethirtynine,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,ESS,10000,,abc@xyz.com,,,,20140526,,35
40,20140601,AB030740A,9030740,Ms,Surnamefortyaddtwo,Firstnameforty,Middlenameforty,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DBA,10000,5,abc@xyz.com,,,,20140526,,35
41,20140601,AB030741A,9030741,Miss,Surnamefortyoneaddtwo,Firstnamefortyone,Middlenamefortyone,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DBS,10000,3,abc@xyz.com,,,,20140526,,35
42,20140601,AB030742A,9030742,Prof,Surnamefortytwoaddtwo,Firstnamefortytwo,Middlenamefortytwo,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,DCA,10000,0,abc@xyz.com,,,,20140526,,35
43,20140601,AB030743A,9030743,Dr,Surnamefortythreeaddtwo,Firstnamefortythree,Middlenamefortythree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
44,20140601,AB030744A,9030744,Lord,Surnamefortyfouraddthree,Firstnamefortyfour,Middlenamefortyfour,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCA,10000,4,abc@xyz.com,,,,20140526,,35
45,20140601,AB030745A,9030745,Commander-in-chief,Surnamefortyfiveaddthree,Firstnamefortyfive,Middlenamefortyfive,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
46,20140601,AB030746A,9030746,Dr,Surnamefortysixaddthree,Firstnamefortysix,Middlenamefortysix,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCA,10000,4,abc@xyz.com,,,,20140526,,35
47,20140601,AB030747A,9030747,Lord,Surnamefortysevenaddthree,Firstnamefortyseven,Middlenamefortyseven,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECS,10000,5,abc@xyz.com,,,,20140526,,35
48,20140601,AB030748A,9030748,Commander-in-chief,Surnamefortyeightaddfour,Firstnamefortyeight,Middlenamefortyeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCS,10000,3,abc@xyz.com,,,,20140526,,35
49,20140601,AB030749A,9030749,Mr,Surnamefortynine,Firstnamefortynine,Middlenamefortynine,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
50,20140601,AB030750A,9030750,Ms,Surnamefiftyforeignadd,Firstnamefifty,Middlenamefifty,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ESA,10000,5,abc@xyz.com,,,,20140526,,35
51,20140601,AB030751A,9030751,Miss,SurnamefortyonePC,Firstnamefortyone,Middlenamefortyone,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH 5ES,ACTIVE,2100,10000,ESS,10000,3,abc@xyz.com,,,,20140526,,35
52,20140601,AB030752A,9030752,Prof,Surnamefortytwopayroll,Firstnamefortytwo,Middlenamefortytwo,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DBA,10000,4,abc@xyz.com,,,,20140526,,35
53,20140601,AB030753A,9030753,Dr,Surnamefortythreescheme,Firstnamefortythree,Middlenamefortythree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,DBA,10000,5,abc@xyz.com,,,,20140526,,35
54,20140601,AB030754A,9030754,Lord,Surnamefortyfoursal,Firstnamefortyfour,Middlenamefortyfour,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
55,20140601,AB030755A,9030755,Commander-in-chief,Surnamefortyfivesal,Firstnamefortyfive,Middlenamefortyfive,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
56,20140601,AB030756A,9030756,Dr,Surnamefortysixorg,Firstnamefortysix,Middlenamefortysix,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,BCA,10000,4,abc@xyz.com,Corporate Accounting & Reporting,Business Conduct and Fraud,Acting Financial Controller,20140526,,35
57,20140601,AB030757A,9030757,Lord,Surnamefortysevensdate,Firstnamefortyseven,Middlenamefortyseven,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECS,10000,5,abc@xyz.com,,,,20140526,,35
58,20140601,AB030758A,9030758,Commander-in-chief,Surnamefortyeighthours,Firstnamefortyeight,Middlenamefortyeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCS,10000,3,abc@xyz.com,,,,20140526,,35
59,20140601,AB030759A,9030759,Mr,Surnamefortynineemail,Firstnamefortynine,Middlenamefortynine,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
60,20140601,AB030760A,9030760,Ms,Surnamefiftycontri,Firstnamefifty,Middlenamefifty,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ESA,10000,3,abc@xyz.com,,,,20140526,,35
60,,,,,,,,,,,,,,,,,,,,,,,,,,,
