Payroll Number,Payroll Group ID,National Insurance Number,Title,First Name,Surname,Gender,Date of Birth,Address Line 1,Address Line 2,Address Line 3,Postcode,Department,Basic Salary,Start Date,Date of Leaving,Reason for Leaving,Smart Pension Indicator,Bulmers
1310017,542,AB131017A,Miss,ByfnameQ,BysnameQ,M,05/05/1985,Sample Add 17,Sample Add 17,Sample Add 17,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310018,542,AB131018A,Lord,ByfnameR,BysnameR,F,01/05/1967,Sample Add 18,Sample Add 18,Sample Add 18,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310019,542,AB131019A,Dame,ByfnameS,BysnameS,M,02/12/1987,Sample Add 19,Sample Add 19,Sample Add 19,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,
1310020,542,AB131020A,Dr,ByfnameT,BysnameT,F,23/11/1975,Sample Add 20,Sample Add 20,Sample Add 20,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310021,542,AB131021A,Mrs,ByfnameU,BysnameU,M,05/11/1968,Sample Add 21,Sample Add 21,Sample Add 21,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310022,542,AB131022A,Mr,ByfnameV,BysnameV,F,05/05/1985,Sample Add 22,Sample Add 22,Sample Add 22,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310023,542,AB131023A,Miss,ByfnameW,BysnameW,M,01/05/1967,Sample Add 23,Sample Add 23,Sample Add 23,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310024,542,AB131024A,Lord,ByfnameX,BysnameX,F,02/12/1987,Sample Add 24,Sample Add 24,Sample Add 24,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,N,
1310025,542,AB131025A,Dame,ByfnameY,BysnameY,M,23/11/1975,Sample Add 25,Sample Add 25,Sample Add 25,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210001,543,AB121001A,Mr,NjfirstnA,NjsurnA,M,05/11/1968,Sample Add 26,Sample Add 26,Sample Add 26,EC3A 8EP,Supply Chain,142938,07/04/2014,,,Y,
1210002,543,AB121002A,Miss,NjfirstnB,NjsurnB,F,05/05/1985,Sample Add 27,Sample Add 27,Sample Add 27,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210003,543,AB121003A,Lord,NjfirstnC,NjsurnC,M,01/05/1967,Sample Add 28,Sample Add 28,Sample Add 28,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210004,543,AB121004A,Dame,NjfirstnD,NjsurnD,F,02/12/1987,Sample Add 29,Sample Add 29,Sample Add 29,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210005,543,AB121005A,Dr,NjfirstnE,NjsurnE,M,23/11/1975,Sample Add 30,Sample Add 30,Sample Add 30,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,
1210006,543,AB121006A,Mrs,NjfirstnF,NjsurnF,F,05/11/1968,Sample Add 31,Sample Add 31,Sample Add 31,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210007,543,AB121007A,Mr,NjfirstnG,NjsurnG,M,05/05/1985,Sample Add 32,Sample Add 32,Sample Add 32,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210008,543,AB121008A,Miss,NjfirstnH,NjsurnH,F,01/05/1967,Sample Add 33,Sample Add 33,Sample Add 33,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210009,543,AB121009A,Lord,NjfirstnI,NjsurnI,M,02/12/1987,Sample Add 34,Sample Add 34,Sample Add 34,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210010,543,AB121010A,Dame,NjfirstnJ,NjsurnJ,F,23/11/1975,Sample Add 35,Sample Add 35,Sample Add 35,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,N,
1210011,543,AB121011A,Dr,NjfirstnK,NjsurnK,M,05/11/1968,Sample Add 36,Sample Add 36,Sample Add 36,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210012,543,AB121012A,Mrs,NjfirstnL,NjsurnL,F,05/05/1985,Sample Add 37,Sample Add 37,Sample Add 37,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210013,543,AB121013A,Mr,NjfirstnM,NjsurnM,M,01/05/1967,Sample Add 38,Sample Add 38,Sample Add 38,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1210014,543,AB121014A,Miss,NjfirstnN,NjsurnN,F,02/12/1987,Sample Add 39,Sample Add 39,Sample Add 39,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1210015,543,AB121015A,Lord,NjfirstnO,NjsurnO,M,23/11/1975,Sample Add 40,Sample Add 40,Sample Add 40,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,Y
1210016,543,AB121016A,Mr,NjfirstnP,NjsurnP,F,05/11/1968,Sample Add 41,Sample Add 41,Sample Add 41,EC3A 8EP,Finance,142938,07/04/2014,,,N,Y
1210017,543,AB121017A,Miss,NjfirstnQ,NjsurnQ,M,05/05/1985,Sample Add 42,Sample Add 42,Sample Add 42,EC3A 8EP,Finance,142938,07/04/2014,,,Y,Y
1210018,543,AB121018A,Lord,NjfirstnR,NjsurnR,F,01/05/1967,Sample Add 43,Sample Add 43,Sample Add 43,EC3A 8EP,Finance,142938,07/04/2014,,,N,Y
1210019,543,AB121019A,Dame,NjfirstnS,NjsurnS,M,02/12/1987,Sample Add 44,Sample Add 44,Sample Add 44,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,Y
1210020,543,AB121020A,Dr,NjfirstnT,NjsurnT,F,23/11/1975,Sample Add 45,Sample Add 45,Sample Add 45,EC3A 8EP,Finance,142938,07/04/2014,,,N,Y
1210021,543,AB121021A,Mrs,NjfirstnU,NjsurnU,M,05/11/1968,Sample Add 46,Sample Add 46,Sample Add 46,EC3A 8EP,Finance,142938,07/04/2014,,,Y,Y
1210022,543,AB121022A,Mr,NjfirstnV,NjsurnV,F,05/05/1985,Sample Add 47,Sample Add 47,Sample Add 47,EC3A 8EP,Finance,142938,07/04/2014,,,N,Y
1210023,543,AB121023A,Miss,NjfirstnW,NjsurnW,M,01/05/1967,Sample Add 48,Sample Add 48,Sample Add 48,EC3A 8EP,Finance,142938,07/04/2014,,,Y,Y
1210024,543,AB121024A,Lord,NjfirstnX,NjsurnX,F,02/12/1987,Sample Add 49,Sample Add 49,Sample Add 49,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,N,Y
1210025,543,AB121025A,Dame,NjfirstnY,NjsurnY,M,23/11/1975,Sample Add 50,Sample Add 50,Sample Add 50,EC3A 8EP,Finance,142938,07/04/2014,,,Y,Y
