Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
11,20140601,AB210711A,9210711,Prof,Surbeleven,Firstbeleven,Middlebeleven,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
12,20140601,AB210712A,9210712,Dr,Surbtwelve,Firstbtwelve,Middlebtwelve,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
13,20140601,AB210713A,9210713,Lord,Surbthirteen,Firstbthirteen,Middlebthirteen,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
14,20140601,AB210714A,9210714,Commander-in-chief,Surbfourteen,Firstbfourteen,Middlebfourteen,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
15,20140601,AB210715A,9210715,Mr,Surbfifteen,Firstbfifteen,Middlebfifteen,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
16,20140601,AB210716A,9210716,Ms,Surbsixteen,Firstbsixteen,Middlebsixteen,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
17,20140601,AB210717A,9210717,Miss,Surbseventeen,Firstbseventeen,Middlebseventeen,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
18,20140601,AB210718A,9210718,Prof,Surbeightteen,Firstbeightteen,Middlebeightteen,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
19,20140601,AB210719A,9210719,Dr,Surbnineteen,Firstbnineteen,Middlebnineteen,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
20,20140601,AB210720A,9210720,Lord,Surbtwenty,Firstbtwenty,Middlebtwenty,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
21,20140601,AB210721A,9210721,Commander-in-chief,Surbtwentyone,Firstbtwentyone,Middlebtwentyone,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
22,20140601,AB210722A,9210722,Mr,Surbtwentytwo,Firstbtwentytwo,Middlebtwentytwo,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
23,20140601,AB210723A,9210723,Ms,Surbtwentythree,Firstbtwentythree,Middlebtwentythree,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
24,20140601,AB210724A,9210724,Miss,Surbtwentyfour,Firstbtwentyfour,Middlebtwentyfour,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
25,20140601,AB210725A,9210725,Prof,Surbtwentyfive,Firstbtwentyfive,Middlebtwentyfive,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
26,20140601,AB210726A,9210726,Dr,Surbtwentysix,Firstbtwentysix,Middlebtwentysix,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
27,20140601,AB210727A,9210727,Lord,Surbtwentyseven,Firstbtwentyseven,Middlebtwentyseven,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECA,10000,5,abc@xyz.com,,,,20131001,,35
28,20140601,AB210728A,9210728,Commander-in-chief,Surbtwentyeight,Firstbtwentyeight,Middlebtwentyeight,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
29,20140601,AB210729A,9210729,Mr,Surbtwentynine,Firstbtwentynine,Middlebtwentynine,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
30,20140601,AB210730A,9210730,Ms,Surbthirty,Firstbthirty,Middlebthirty,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
31,20140601,AB210731A,9210731,Miss,Surbthirtyone,Firstbthirtyone,Middlebthirtyone,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
32,20140601,AB210732A,9210732,Prof,Surbthirtytwo,Firstbthirtytwo,Middlebthirtytwo,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
33,20140601,AB210733A,9210733,Dr,Surbthirtythree,Firstbthirtythree,Middlebthirtythree,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
34,20140601,AB210734A,9210734,Lord,Surbthirtyfour,Firstbthirtyfour,Middlebthirtyfour,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
35,20140601,AB210735A,9210735,Commander-in-chief,Surbthirtyfiveaddone,Firstbthirtyfive,Middlebthirtyfive,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
36,20140601,AB210736A,9210736,Dr,Surbthirtysixaddone,Firstbthirtysix,Middlebthirtysix,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
37,20140601,AB210737A,9210737,Lord,Surbthirtysevenaddone,Firstbthirtyseven,Middlebthirtyseven,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
38,20140601,AB210738A,9210738,Commander-in-chief,Surbthirtyeightaddtwo,Firstbthirtyeight,Middlebthirtyeight,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
39,20140601,AB210739A,9210739,Mr,Surbthirtynineaddtwo,Firstbthirtynine,Middlebthirtynine,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
40,20140601,AB210740A,9210740,Ms,Surbfortyaddtwo,Firstbforty,Middlebforty,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
41,20140601,AB210741A,9210741,Miss,Surbfortyoneaddtwo,Firstbfortyone,Middlebfortyone,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
42,20140601,AB210742A,9210742,Prof,Surbfortytwoaddtwo,Firstbfortytwo,Middlebfortytwo,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
43,20140601,AB210743A,9210743,Dr,Surbfortythreeaddtwo,Firstbfortythree,Middlebfortythree,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
44,20140601,AB210744A,9210744,Lord,Surbfortyfouraddthree,Firstbfortyfour,Middlebfortyfour,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
45,20140601,AB210745A,9210745,Commander-in-chief,Surbfortyfiveaddthree,Firstbfortyfive,Middlebfortyfive,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
46,20140601,AB210746A,9210746,Dr,Surbfortysixaddthree,Firstbfortysix,Middlebfortysix,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
47,20140601,AB210747A,9210747,Lord,Surbfortysevenaddthree,Firstbfortyseven,Middlebfortyseven,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
48,20140601,AB210748A,9210748,Commander-in-chief,Surbfortyeightaddfour,Firstbfortyeight,Middlebfortyeight,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
49,20140601,AB210749A,9210749,Mr,Surbfortynine,Firstbfortynine,Middlebfortynine,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
50,20140601,AB210750A,9210750,Ms,Surbfiftyforeignadd,Firstbfifty,Middlebfifty,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
51,20140601,AB210751A,9210751,Miss,SurbfortyonePC,Firstbfortyone,Middlebfortyone,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
52,20140601,AB210752A,9210752,Prof,Surbfortytwopayroll,Firstbfortytwo,Middlebfortytwo,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
53,20140601,AB210753A,9210753,Dr,Surbfortythreescheme,Firstbfortythree,Middlebfortythree,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
54,20140601,AB210754A,9210754,Lord,Surbfortyfoursal,Firstbfortyfour,Middlebfortyfour,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
55,20140601,AB210755A,9210755,Commander-in-chief,Surbfortyfivesal,Firstbfortyfive,Middlebfortyfive,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
56,20140601,AB210756A,9210756,Dr,Surbfortysixorg,Firstbfortysix,Middlebfortysix,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
57,20140601,AB210757A,9210757,Lord,Surbfortysevensdate,Firstbfortyseven,Middlebfortyseven,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
58,20140601,AB210758A,9210758,Commander-in-chief,Surbfortyeighthours,Firstbfortyeight,Middlebfortyeight,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
59,20140601,AB210759A,9210759,Mr,Surbfortynineemail,Firstbfortynine,Middlebfortynine,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
60,20140601,AB210760A,9210760,Ms,Surbfiftycontri,Firstbfifty,Middlebfifty,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
60,,,,,,,,,,,,,,,,,,,,,,,,,,,
